cutoff,9,,,,,,,,,,,,,,,,,
Database,TandemPV,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity,"hydrogen production, electrolysis, 25 bar, domestic, EP2050",,,,,,,,,,,,,,,,,
Activity,"electrolyzer, PEM",,,,,,,,,,,,,,,,,
production amount,1.00E+00,,,,,,,,,,,,,,,,,
comment,"1 MW PEM electrolyzer based on Bareiß, K., de la Rua, C., Möckl, M., Hamacher, T., 2019. Life cycle assessment of hydrogen from proton exchange membrane water electrolysis in future energy systems 237, 862-872. 10.1016/j.apenergy.2019.01.001",,,,,,,,,,,,,,,,,
reference product,"electrolyzer, PEM",,,,,,,,,,,,,,,,,
location,GLO,,,,,,,,,,,,,,,,,
unit,unit,,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,categories,comment,,,,,,,,,,
"electrolyzer, PEM",1.00E+00,TandemPV,GLO,unit,production,"electrolyzer, PEM",,,,,,,,,,,,
"electrolyzer, PEM, Balance of Plant",3.50E-01,TandemPV,GLO,unit,technosphere,"electrolyzer, PEM, Balance of Plant",,"Assuming lifetime of electrolyzer stack of 7 years, BOP 20 years",,,,,,,,,,
"electrolyzer, PEM, Stack",1.00E+00,TandemPV,GLO,unit,technosphere,"electrolyzer, PEM, Stack",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity,"electrolyzer, PEM, Stack",,,,,,,,,,,,,,,,,
production amount,1.00E+00,,,,,,,,,,,,,,,,,
comment,"1 MW PEM electrolyzer based on Bareiß, K., de la Rua, C., Möckl, M., Hamacher, T., 2019. Life cycle assessment of hydrogen from proton exchange membrane water electrolysis in future energy systems 237, 862-872. 10.1016/j.apenergy.2019.01.001",,,,,,,,,,,,,,,,,
reference product,"electrolyzer, PEM, Stack",,,,,,,,,,,,,,,,,
location,GLO,,,,,,,,,,,,,,,,,
unit,unit,,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,categories,comment,,,,,,,,,,
"electrolyzer, PEM, Stack",1.00E+00,TandemPV,GLO,unit,production,"electrolyzer, PEM, Stack",,,,,,,,,,,,
market for titanium,5.28E+02,ecoinvent 3.7.1,GLO,kilogram,technosphere,titanium,,,,,,,,,,,,
